出現形	ICDコード	標準病名	しゅつげんけい	東大診療録頻度
眼瞼腫瘤	H029	眼瞼腫瘤	がんけんしゅりゅう	109
急性大腸炎	A09	急性大腸炎	きゅうせいだいちょうえん	109
食道びらん	K221	食道びらん	しょくどうびらん	109
小児肺炎	J189	小児肺炎	しょうにはいえん	109
稽留性肢端皮膚炎	L402	稽留性肢端皮膚炎	けいりゅうせいしたんひふえん	109
下肢血栓性静脈炎	I800	下肢血栓性静脈炎	かしけっせんせいじょうみゃくえん	109
前向性健忘	R411	前向性健忘	ぜんこうせいけんぼう	109
血管脂肪腫	D179	血管脂肪腫	けっかんしぼうしゅ	109
増殖性天疱瘡	L101	増殖性天疱瘡	ぞうしょくせいてんぽうそう	109
尿管炎	N288	尿管炎	にょうかんえん	109
樹枝状角膜炎	B005	樹枝状角膜炎	じゅしじょうかくまくえん	109
乳房下内側部乳癌	C503	乳房下内側部乳癌	にゅうぼうかないそくぶにゅうがん	109
汗腺癌	C449	汗腺癌	かんせんがん	108
特発性中枢性尿崩症	E232	特発性中枢性尿崩症	とくはつせいちゅうすうせいにょうほうしょう	108
慢性閉塞隅角緑内障	H402	慢性閉塞隅角緑内障	まんせいへいそくぐうかくりょくないしょう	108
哺乳力低下	P922	哺乳力低下	ほにゅうりょくていか	108
頭蓋骨陥没骨折	S0290	頭蓋骨陥没骨折	とうがいこつかんぼつこっせつ	108
上腕骨顆上骨折	S4240	上腕骨顆上骨折	じょうわんこつかじょうこっせつ	108
小下顎症	K070	小下顎症	しょうかがくしょう	108
披裂軟骨脱臼	S135	披裂軟骨脱臼	ひれつなんこつだっきゅう	108
椎弓骨折	T08-0	椎弓骨折	ついきゅうこっせつ	108
発作性呼吸困難	R060	発作性呼吸困難	ほっさせいこきゅうこんなん	108
胃十二指腸潰瘍瘢痕	K277	胃十二指腸潰瘍瘢痕	いじゅうにしちょうかいようはんこん	108
先天性脳奇形	Q049	先天性脳奇形	せんてんせいのうきけい	108
滑膜骨軟骨腫症	D481	滑膜骨軟骨腫症	かつまくこつなんこつしゅしょう	108
総排泄腔遺残	Q437	総排泄腔遺残	そうはいせつくういざん	108
足湿疹	L309	足湿疹	あししっしん	108
細菌性腟症	N898	細菌性腟症	さいきんせいちつしょう	108
先天性ＧＰＩ欠損症	E748	先天性ＧＰＩ欠損症	せんてんせいＧＰＩけっそんしょう	108
糖尿病黄斑症	E143	糖尿病黄斑症	とうにょうびょうおうはんしょう	107
器質性妄想性障害	F062	器質性妄想性障害	きしつせいもうそうせいしょうがい	107
肝性浮腫	R609	肝性浮腫	かんせいふしゅ	107
腰殿部痛	M5456	腰殿部痛	ようでんぶつう	107
若年性パーキンソン病	G20	若年性パーキンソン病	じゃくねんせいぱーきんそんびょう	107
老年性難聴	H911	老年性難聴	ろうねんせいなんちょう	107
四肢痙攣	R252	四肢痙攣	ししけいれん	107
先天性無痛無汗症	G608	先天性無痛無汗症	せんてんせいむつうむかんしょう	107
人工関節感染	T845	人工関節感染	じんこうかんせつかんせん	107
舌びらん	K140	舌びらん	ぜつびらん	107
ステロイド性大腿骨頭壊死	M8715	ステロイド性大腿骨頭壊死	すてろいどせいだいたいこっとうえし	107
鎖肛	Q423b	鎖肛	さこう	107
萎縮性瘢痕	L905	萎縮性瘢痕	いしゅくせいはんこん	107
肩関節拘縮	M2451	肩関節拘縮	かたかんせつこうしゅく	107
Ｓ状結腸過長症	Q438	Ｓ状結腸過長症	Ｓじょうけっちょうかちょうしょう	106
上衣下巨細胞性星細胞腫	D432	上衣下巨細胞性星細胞腫	じょういかきょさいぼうせいせいさいぼうしゅ	106
肺静脈狭窄症	I288	肺静脈狭窄症	はいじょうみゃくきょうさくしょう	106
肩こり	M6281	肩こり	かたこり	106
肝炎後再生不良性貧血	D612	肝炎後再生不良性貧血	かんえんごさいせいふりょうせいひんけつ	106
仙痛	R104	仙痛	せんつう	106
萎縮性鼻炎	J310	萎縮性鼻炎	いしゅくせいびえん	106
二次性骨粗鬆症	M8199	二次性骨粗鬆症	にじせいこつそしょうしょう	106
外陰部ヘルペス	A600	外陰部ヘルペス	がいいんぶへるぺす	106
皮膚動脈炎	M308	皮膚動脈炎	ひふどうみゃくえん	106
慢性気管支拡張症	J47	慢性気管支拡張症	まんせいきかんしかくちょうしょう	106
慢性苔癬状粃糠疹	L411	慢性苔癬状粃糠疹	まんせいたいせんじょうひこうしん	106
鼻涙管狭窄症	H045	鼻涙管狭窄症	びるいかんきょうさくしょう	105
門脈ガス血症	R932	門脈ガス血症	もんみゃくがすけっしょう	105
成長ホルモン産生下垂体腺腫	D352	成長ホルモン産生下垂体腺腫	せいちょうほるもんさんせいかすいたいせんしゅ	105
下顎骨壊死	K102	下顎骨壊死	かがくこつえし	105
メトヘモグロビン血症	D749	メトヘモグロビン血症	めとへもぐろびんけっしょう	105
アレルギー性肺炎	J82	アレルギー性肺炎	あれるぎーせいはいえん	105
慢性腰痛症	M5456	慢性腰痛症	まんせいようつうしょう	105
慢性片頭痛	G439	慢性片頭痛	まんせいへんずつう	105
続発性中枢性尿崩症	E232	続発性中枢性尿崩症	ぞくはつせいちゅうすうせいにょうほうしょう	104
形質細胞白血病	C901	形質細胞白血病	けいしつさいぼうはっけつびょう	104
精索水瘤	N433	精索水瘤	せいさくすいりゅう	104
臍周囲痛	R103	臍周囲痛	さいしゅういつう	104
先天性肥厚性幽門狭窄症	Q400	先天性肥厚性幽門狭窄症	せんてんせいひこうせいゆうもんきょうさくしょう	104
非骨傷性頚髄損傷	S141	非骨傷性頚髄損傷	ひこっしょうせいけいずいそんしょう	104
下肢静脈炎	I803	下肢静脈炎	かしじょうみゃくえん	104
手関節拘縮	M2453	手関節拘縮	しゅかんせつこうしゅく	104
陰唇癒合	Q525	陰唇癒合	いんしんゆごう	104
口唇潰瘍	K130	口唇潰瘍	こうしんかいよう	104
滴状類乾癬	L411	滴状類乾癬	てきじょうるいかんせん	104
妊娠性痒疹	O997	妊娠性痒疹	にんしんせいようしん	104
前立腺出血	N421	前立腺出血	ぜんりつせんしゅっけつ	103
乳房腫瘍	D486	乳房腫瘍	にゅうぼうしゅよう	103
悪性軟部腫瘍	C499	悪性軟部腫瘍	あくせいなんぶしゅよう	103
遺伝性難聴	H919	遺伝性難聴	いでんせいなんちょう	103
一次性頭痛	R51	一次性頭痛	いちじせいずつう	103
血管ベーチェット病	M352	血管ベーチェット病	けっかんべーちぇっとびょう	103
自己免疫性辺縁系脳炎	G048	自己免疫性辺縁系脳炎	じこめんえきせいへんえんけいのうえん	103
紅色陰癬	L081	紅色陰癬	こうしょくいんせん	103
エンドリーク	T828	エンドリーク	えんどりーく	103
外傷性白内障	H261	外傷性白内障	がいしょうせいはくないしょう	102
中咽頭後壁癌	C103	中咽頭後壁癌	ちゅういんとうこうへきがん	102
延髄外側症候群	I663	延髄外側症候群	えんずいがいそくしょうこうぐん	102
横隔膜ヘルニア嵌頓	K440	横隔膜ヘルニア嵌頓	おうかくまくへるにあかんとん	102
薬剤性高プロラクチン血症	E221	薬剤性高プロラクチン血症	やくざいせいこうぷろらくちんけっしょう	102
膝窩部痛	M2556	膝窩部痛	しっかぶつう	102
成人スチル病	M0610	成人スチル病	せいじんすちるびょう	102
肺動脈弁閉鎖	Q220	肺動脈弁閉鎖	はいどうみゃくべんへいさ	101
血管免疫芽球性Ｔ細胞リンパ腫	C844	血管免疫芽球性Ｔ細胞リンパ腫	けっかんめんえきがきゅうせいＴさいぼうりんぱしゅ	101
単心室症	Q204	単心室症	たんしんしつしょう	101
重症妊娠悪阻	O211	重症妊娠悪阻	じゅうしょうにんしんおそ	101
顔面単純性血管腫	Q825	顔面単純性血管腫	がんめんたんじゅんせいけっかんしゅ	101
皮膚膿瘍	L029	皮膚膿瘍	ひふのうよう	101
悪性骨腫瘍	C419	悪性骨腫瘍	あくせいこつしゅよう	101
進行性ミオクローヌスてんかん	G403	進行性ミオクローヌスてんかん	しんこうせいみおくろーぬすてんかん	101
小脳橋角部髄膜腫	D320	小脳橋角部髄膜腫	しょうのうきょうかくぶずいまくしゅ	101
肛門部悪性黒色腫	C435	肛門部悪性黒色腫	こうもんぶあくせいこくしょくしゅ	101
水俣病	T561	水俣病	みなまたびょう	101
四肢発疹	R21	四肢発疹	ししほっしん	101
脊髄麻痺	G838	脊髄麻痺	せきずいまひ	101
視床下部腫瘍	D430	視床下部腫瘍	ししょうかぶしゅよう	101
情緒不安定性パーソナリティ障害	F603	情緒不安定性パーソナリティ障害	じょうちょふあんていせいぱーそなりてぃしょうがい	100
扁桃病巣感染症	J350	扁桃病巣感染症	へんとうびょうそうかんせんしょう	100
後頚部腫瘤	R221	後頚部腫瘤	こうけいぶしゅりゅう	100
虹彩結節	H218	虹彩結節	こうさいけっせつ	100
限局性筋炎	M6099	限局性筋炎	げんきょくせいきんえん	100
複雑型子宮内膜増殖症	N850	複雑型子宮内膜増殖症	ふくざつがたしきゅうないまくぞうしょくしょう	100
背部皮下腫瘍	D481	背部皮下腫瘍	はいぶひかしゅよう	100
細菌性腟炎	N760	細菌性腟炎	さいきんせいちつえん	100
腎静脈血栓症	I823	腎静脈血栓症	じんじょうみゃくけっせんしょう	100
特発性副甲状腺機能低下症	E200	特発性副甲状腺機能低下症	とくはつせいふくこうじょうせんきのうていかしょう	100
点状軟骨異形成症	Q773	点状軟骨異形成症	てんじょうなんこついけいせいしょう	100
視神経症	H46	視神経症	ししんけいしょう	100
脳卒中後てんかん	I694	脳卒中後てんかん	のうそっちゅうごてんかん	100
結合織炎	M7909	結合織炎	けつごうしきえん	100
殿部膿瘍	L023	殿部膿瘍	でんぶのうよう	100
過強陣痛	O624	過強陣痛	かきょうじんつう	99
カルチノイド症候群	E340	カルチノイド症候群	かるちのいどしょうこうぐん	99
ミトコンドリアミオパチー	G713	ミトコンドリアミオパチー	みとこんどりあみおぱちー	99
ライター症候群	M0239	ライター症候群	らいたーしょうこうぐん	99
尖足	Q668	尖足	せんそく	99
急性化膿性根尖性歯周炎	K044	急性化膿性根尖性歯周炎	きゅうせいかのうせいこんせんせいししゅうえん	99
反復性嘔吐	R11	反復性嘔吐	はんぷくせいおうと	99
唾液瘻	K114	唾液瘻	だえきろう	99
食道粘膜下腫瘤	K228	食道粘膜下腫瘤	しょくどうねんまくかしゅりゅう	99
化膿性腱鞘炎	M6509	化膿性腱鞘炎	かのうせいけんしょうえん	99
咬合異常	K074	咬合異常	こうごういじょう	99
線状苔癬	L442	線状苔癬	せんじょうたいせん	99
ＲＳウイルス感染症	B348	ＲＳウイルス感染症	ＲＳういるすかんせんしょう	98
耳下腺多形腺腫	D110	耳下腺多形腺腫	じかせんたけいせんしゅ	98
精神運動発作	G402	精神運動発作	せいしんうんどうほっさ	98
大動脈弁閉鎖症	Q252	大動脈弁閉鎖症	だいどうみゃくべんへいさしょう	98
若年性白内障	H260	若年性白内障	じゃくねんせいはくないしょう	98
感染性心膜炎	I301	感染性心膜炎	かんせんせいしんまくえん	98
Ｓ状結腸炎	A09	Ｓ状結腸炎	Ｓじょうけっちょうえん	98
びまん性甲状腺腫	E049	びまん性甲状腺腫	びまんせいこうじょうせんしゅ	98
甲状腺ホルモン不応症	E078	甲状腺ホルモン不応症	こうじょうせんほるもんふおうしょう	98
肺良性腫瘍	D143	肺良性腫瘍	はいりょうせいしゅよう	98
小脳海綿状血管腫	Q283	小脳海綿状血管腫	しょうのうかいめんじょうけっかんしゅ	98
蟻走感	R202	蟻走感	ぎそうかん	98
足背腫脹	R224	足背腫脹	そくはいしゅちょう	98
胎児ジストレス	P209	胎児ジストレス	たいじじすとれす	98
軟口蓋麻痺	K137	軟口蓋麻痺	なんこうがいまひ	98
胎盤異常	O439	胎盤異常	たいばんいじょう	98
迷路障害	H839	迷路障害	めいろしょうがい	98
空腸閉鎖	Q411b	空腸閉鎖	くうちょうへいさ	98
食道小細胞癌	C159	食道小細胞癌	しょくどうしょうさいぼうがん	97
裂離骨折	T1420	裂離骨折	れつりこっせつ	97
口腔底膿瘍	K122	口腔底膿瘍	こうくうていのうよう	97
脳底動脈狭窄症	I651	脳底動脈狭窄症	のうていどうみゃくきょうさくしょう	97
正中神経損傷	S541	正中神経損傷	せいちゅうしんけいそんしょう	97
回避性パーソナリティ障害	F606	回避性パーソナリティ障害	かいひせいぱーそなりてぃしょうがい	97
脳幹機能障害	G939	脳幹機能障害	のうかんきのうしょうがい	97
アルカプトン尿症	E702	アルカプトン尿症	あるかぷとんにょうしょう	97
気管支瘻	J980	気管支瘻	きかんしろう	97
色素失調症	Q823	色素失調症	しきそしっちょうしょう	97
腱索断裂	I511	腱索断裂	けんさくだんれつ	97
肝性腹水	R18	肝性腹水	かんせいふくすい	96
リンパ芽球性リンパ腫	C835	リンパ芽球性リンパ腫	りんぱがきゅうせいりんぱしゅ	96
アトピー性脊髄炎	G048	アトピー性脊髄炎	あとぴーせいせきずいえん	96
全身打撲	T009	全身打撲	ぜんしんだぼく	96
下顎前突症	K071	下顎前突症	かがくぜんとつしょう	96
副耳	Q170	副耳	ふくじ	96
大腿骨骨幹部開放骨折	S7231	大腿骨骨幹部開放骨折	だいたいこつこっかんぶかいほうこっせつ	96
脊髄浮腫	G951	脊髄浮腫	せきずいふしゅ	96
頭部脂肪腫	D170	頭部脂肪腫	とうぶしぼうしゅ	96
眼窩腫瘤	H059	眼窩腫瘤	がんかしゅりゅう	96
アレルギー性じんま疹	L500	アレルギー性じんま疹	あれるぎーせいじんましん	96
後大脳動脈狭窄	I662	後大脳動脈狭窄	こうだいのうどうみゃくきょうさく	96
外痔瘻	K603	外痔瘻	がいじろう	96
呼吸性嗅覚障害	R430	呼吸性嗅覚障害	こきゅうせいきゅうかくしょうがい	96
人工骨感染	T847	人工骨感染	じんこうこつかんせん	96
食道損傷	S278	食道損傷	しょくどうそんしょう	96
下肢外傷	T139	下肢外傷	かしがいしょう	96
女性化乳房症	N62	女性化乳房症	じょせいかにゅうぼうしょう	96
腹部腫脹	R190	腹部腫脹	ふくぶしゅちょう	96
慢性辺縁性歯周炎急性発作	K052	慢性辺縁性歯周炎急性発作	まんせいへんえんせいししゅうえんきゅうせいほっさ	96
腱炎	M7799	腱炎	けんえん	96
乳頭亀裂	N640	乳頭亀裂	にゅうとうきれつ	96
血液凝固異常	D689	血液凝固異常	けつえきぎょうこいじょう	95
結腸閉塞	K566	結腸閉塞	けっちょうへいそく	95
気管癌	C33	気管癌	きかんがん	95
散瞳	H570	散瞳	さんどう	95
仮面うつ病	F328	仮面うつ病	かめんうつびょう	95
双胎妊娠	O300	双胎妊娠	そうたいにんしん	95
意識不明	R402	意識不明	いしきふめい	95
脊椎血管腫	D180	脊椎血管腫	せきついけっかんしゅ	95
歯肉膿瘍	K052	歯肉膿瘍	しにくのうよう	95
大腿骨壊死	M8795	大腿骨壊死	だいたいこつえし	95
迷走神経障害	G522	迷走神経障害	めいそうしんけいしょうがい	95
副神経麻痺	G528	副神経麻痺	ふくしんけいまひ	95
水様性鼻漏	J348	水様性鼻漏	すいようせいびろう	95
肛門潰瘍	K626	肛門潰瘍	こうもんかいよう	95
リウマトイド血管炎	M0520	リウマトイド血管炎	りうまといどけっかんえん	95
脳軟化症	I639	脳軟化症	のうなんかしょう	94
慢性腎炎症候群	N039	慢性腎炎症候群	まんせいじんえんしょうこうぐん	94
冠状動脈硬化症	I251	冠状動脈硬化症	かんじょうどうみゃくこうかしょう	94
転移性膵腫瘍	C788	転移性膵腫瘍	てんいせいすいしゅよう	94
縦隔甲状腺腫	E049	縦隔甲状腺腫	じゅうかくこうじょうせんしゅ	94
軟口蓋裂	Q353	軟口蓋裂	なんこうがいれつ	94
プロラクチン産生下垂体腺腫	D352	プロラクチン産生下垂体腺腫	ぷろらくちんさんせいかすいたいせんしゅ	94
気管支痙攣	J980	気管支痙攣	きかんしけいれん	94
慢性顎下腺炎	K112	慢性顎下腺炎	まんせいがくかせんえん	94
筋脱力	R298	筋脱力	きんだつりょく	94
熱傷後瘢痕ケロイド拘縮	L910	熱傷後瘢痕ケロイド拘縮	ねっしょうごはんこんけろいどこうしゅく	94
手白癬	B352	手白癬	てはくせん	94
髄液耳漏	G960	髄液耳漏	ずいえきじろう	94
睡眠相後退症候群	G472	睡眠相後退症候群	すいみんそうこうたいしょうこうぐん	94
リステリア性髄膜炎	A321	リステリア性髄膜炎	りすてりあせいずいまくえん	94
多発皮下膿瘍	L029	多発皮下膿瘍	たはつひかのうよう	94
慢性精巣上体炎	N459	慢性精巣上体炎	まんせいせいそうじょうたいえん	94
小腸閉鎖	Q419b	小腸閉鎖	しょうちょうへいさ	93
腓腹筋痛	M7916	腓腹筋痛	ひふくきんつう	93
剥離性間質性肺炎	J841	剥離性間質性肺炎	はくりせいかんしつせいはいえん	93
食道憩室	Q396	食道憩室	しょくどうけいしつ	93
胸部帯状疱疹	B029	胸部帯状疱疹	きょうぶたいじょうほうしん	93
慢性２型呼吸不全	J961	慢性２型呼吸不全	まんせいにがたこきゅうふぜん	93
サイトメガロウイルス腸炎	B258	サイトメガロウイルス腸炎	さいとめがろういるすちょうえん	93
硬化性血管腫	D239	硬化性血管腫	こうかせいけっかんしゅ	93
腎血管脂肪腫	D177	腎血管脂肪腫	じんけっかんしぼうしゅ	93
食道乳頭腫	D130	食道乳頭腫	しょくどうにゅうとうしゅ	93
食道平滑筋肉腫	C159	食道平滑筋肉腫	しょくどうへいかつきんにくしゅ	93
冠動静脈瘻	I254	冠動静脈瘻	かんどうじょうみゃくろう	93
前置胎盤	O441	前置胎盤	ぜんちたいばん	93
好酸球性気管支炎	J82	好酸球性気管支炎	こうさんきゅうせいきかんしえん	93
爪下膿瘍	L030	爪下膿瘍	そうかのうよう	93
後天性免疫不全症候群	B24	後天性免疫不全症候群	こうてんせいめんえきふぜんしょうこうぐん	92
ケトン性低血糖症	E161	ケトン性低血糖症	けとんせいていけっとうしょう	92
挙上空腸狭窄	K918	挙上空腸狭窄	きょじょうくうちょうきょうさく	92
全身性エリテマトーデス	M329	全身性エリテマトーデス	ぜんしんせいえりてまとーです	92
転移性扁平上皮癌	C80	転移性扁平上皮癌	てんいせいへんぺいじょうひがん	92
閉塞性無気肺	J981	閉塞性無気肺	へいそくせいむきはい	92
仙骨痛	M5338	仙骨痛	せんこつつう	92
偽アルドステロン症	I158	偽アルドステロン症	ぎあるどすてろんしょう	92
被包型胸腺腫	D150	被包型胸腺腫	ひほうがたきょうせんしゅ	92
下肢知覚異常	R202	下肢知覚異常	かしちかくいじょう	92
ホルネル症候群	G902	ホルネル症候群	ほるねるしょうこうぐん	92
副鼻腔癌	C319	副鼻腔癌	ふくびくうがん	92
下行結腸憩室穿孔	K572	下行結腸憩室穿孔	かこうけっちょうけいしつせんこう	92
上腕骨頚部骨折	S4220	上腕骨頚部骨折	じょうわんこつけいぶこっせつ	92
十二指腸憩室穿孔	K570	十二指腸憩室穿孔	じゅうにしちょうけいしつせんこう	92
食中毒	T629	食中毒	しょくちゅうどく	92
下行結腸腺腫	D124	下行結腸腺腫	かこうけっちょうせんしゅ	91
肩腱板損傷	S460	肩腱板損傷	かたけんばんそんしょう	91
ステロイド離脱症候群	E273	ステロイド離脱症候群	すてろいどりだつしょうこうぐん	91
血性鼻漏	J348	血性鼻漏	けっせいびろう	91
内転拘縮	M2459	内転拘縮	ないてんこうしゅく	91
放射線性甲状腺炎	E064	放射線性甲状腺炎	ほうしゃせんせいこうじょうせんえん	91
大腸静脈瘤	I868	大腸静脈瘤	だいちょうじょうみゃくりゅう	91
急性肺傷害	J984	急性肺傷害	きゅうせいはいしょうがい	91
眼球損傷	S059	眼球損傷	がんきゅうそんしょう	91
大腿骨遠位端骨折	S7240	大腿骨遠位端骨折	だいたいこつえんいたんこっせつ	91
回腸壊死	K550	回腸壊死	かいちょうえし	91
大腿軟部腫瘍	D481	大腿軟部腫瘍	だいたいなんぶしゅよう	91
中心静脈カテーテル感染症	T827	中心静脈カテーテル感染症	ちゅうしんじょうみゃくかてーてるかんせんしょう	90
多発胆石症	K802	多発胆石症	たはつたんせきしょう	90
上下肢リンパ浮腫	I890	上下肢リンパ浮腫	じょうかしりんぱふしゅ	90
失立	F444	失立	しつりつ	90
嗅窩髄膜腫	D320	嗅窩髄膜腫	きゅうかずいまくしゅ	90
下葉非小細胞肺癌	C343	下葉非小細胞肺癌	かようひしょうさいぼうはいがん	90
腹部板状硬	R193	腹部板状硬	ふくぶばんじょうこう	90
棘融解	L119	棘融解	きょくゆうかい	90
感染性胸部大動脈瘤	I712	感染性胸部大動脈瘤	かんせんせいきょうぶだいどうみゃくりゅう	90
網脈絡膜炎	H309	網脈絡膜炎	もうみゃくらくまくえん	90
下腿腫瘤	R224	下腿腫瘤	かたいしゅりゅう	90
血管平滑筋腫	D219	血管平滑筋腫	けっかんへいかつきんしゅ	90
閉鼻声	R492	閉鼻声	へいびせい	90
肋骨軟骨肉腫	C413	肋骨軟骨肉腫	ろっこつなんこつにくしゅ	90
特発性拘束型心筋症	I425	特発性拘束型心筋症	とくはつせいこうそくがたしんきんしょう	90
頻発月経	N920	頻発月経	ひんぱつげっけい	90
陰茎腫瘤	N488	陰茎腫瘤	いんけいしゅりゅう	90
眼瞼結膜出血	H113	眼瞼結膜出血	がんけんけつまくしゅっけつ	90
ムンプス	B269	ムンプス	むんぷす	90
創傷感染症	T793	創傷感染症	そうしょうかんせんしょう	89
先天性喘鳴	P288	先天性喘鳴	せんてんせいぜんめい	89
中耳腫瘍	D385	中耳腫瘍	ちゅうじしゅよう	89
掌蹠膿疱症性骨関節炎	L403	掌蹠膿疱症性骨関節炎	しょうせきのうほうしょうせいこつかんせつえん	89
下顎腫瘍	D480	下顎腫瘍	かがくしゅよう	89
慢性アルコール性肝障害	K709	慢性アルコール性肝障害	まんせいあるこーるせいかんしょうがい	89
網膜振盪	S058	網膜振盪	もうまくしんとう	89
軟骨芽細胞腫	D169	軟骨芽細胞腫	なんこつがさいぼうしゅ	89
腓骨筋腱脱臼	S930	腓骨筋腱脱臼	ひこつきんけんだっきゅう	89
寒冷じんま疹	L502	寒冷じんま疹	かんれいじんましん	89
大腿静脈血栓症	I801	大腿静脈血栓症	だいたいじょうみゃくけっせんしょう	89
ウイルス血症	B349	ウイルス血症	ういるすけっしょう	89
耳疾患	H939	耳疾患	みみしっかん	89
リポイド類壊死症	L921	リポイド類壊死症	りぽいどるいえししょう	89
急性汎発性発疹性膿疱症	L080	急性汎発性発疹性膿疱症	きゅうせいはんぱつせいほっしんせいのうほうしょう	89
既往帝切後妊娠	O342	既往帝切後妊娠	きおうていせつごにんしん	89
悪性髄膜腫	C709	悪性髄膜腫	あくせいずいまくしゅ	88
急性呼吸窮迫症候群	J80	急性呼吸窮迫症候群	きゅうせいこきゅうきゅうはくしょうこうぐん	88
胆管結石性胆管炎	K803	胆管結石性胆管炎	たんかんけっせきせいたんかんえん	88
ムチランス変形	M0680	ムチランス変形	むちらんすへんけい	88
甲状腺悪性腫瘍	C73	甲状腺悪性腫瘍	こうじょうせんあくせいしゅよう	88
血管内皮腫	D489	血管内皮腫	けっかんないひしゅ	88
紫斑型薬疹	L270	紫斑型薬疹	しはんがたやくしん	88
上肢脱力	R298	上肢脱力	じょうしだつりょく	88
食道瘢痕	K222	食道瘢痕	しょくどうはんこん	88
性的虐待	T742	性的虐待	せいてきぎゃくたい	88
骨化性筋炎	M6159	骨化性筋炎	こつかせいきんえん	88
顎関節強直症	K076	顎関節強直症	がくかんせつきょうちょくしょう	88
高張尿	R829	高張尿	こうちょうにょう	88
腹部膿瘍	L022	腹部膿瘍	ふくぶのうよう	88
皮膚結節性多発動脈炎	M308	皮膚結節性多発動脈炎	ひふけっせつせいたはつどうみゃくえん	87
ＥＲＣＰ後膵炎	K85	ＥＲＣＰ後膵炎	ＥＲＣＰごすいえん	87
急性意識障害	R402	急性意識障害	きゅうせいいしきしょうがい	87
蠕動亢進	R192	蠕動亢進	ぜんどうこうしん	87
ピルビン酸血症	E872	ピルビン酸血症	ぴるびんさんけっしょう	87
中葉肺癌	C342	中葉肺癌	ちゅうようはいがん	87
家族性アミロイドニューロパチー	E851	家族性アミロイドニューロパチー	かぞくせいあみろいどにゅーろぱちー	87
ブシャール結節	M152	ブシャール結節	ぶしゃーるけっせつ	87
喉頭白斑症	J387	喉頭白斑症	こうとうはくはんしょう	86
若年性ポリープ	D126	若年性ポリープ	じゃくねんせいぽりーぷ	86
血友病Ｂ	D67	血友病Ｂ	けつゆうびょうＢ	86
腰椎陳旧性圧迫骨折	T911	腰椎陳旧性圧迫骨折	ようついちんきゅうせいあっぱくこっせつ	86
角膜実質混濁	H178	角膜実質混濁	かくまくじっしつこんだく	86
非機能性副腎腫瘍	D441	非機能性副腎腫瘍	ひきのうせいふくじんしゅよう	86
仮性包茎	N47	仮性包茎	かせいほうけい	86
ヘルペス口内炎	B002	ヘルペス口内炎	へるぺすこうないえん	86
腟欠損	Q520	腟欠損	ちつけっそん	86
胃体部ポリープ	K317	胃体部ポリープ	いたいぶぽりーぷ	86
核黄疸	P579	核黄疸	かくおうだん	86
重複腎盂尿管	Q625	重複腎盂尿管	じゅうふくじんうにょうかん	86
頭蓋内圧亢進症	G932	頭蓋内圧亢進症	とうがいないあつこうしんしょう	86
オトガイ神経麻痺	G509	オトガイ神経麻痺	おとがいしんけいまひ	86
小脳虫部腫瘍	D431	小脳虫部腫瘍	しょうのうちゅうぶしゅよう	86
先天性網膜剥離	H335	先天性網膜剥離	せんてんせいもうまくはくり	86
シスチン結石	E720	シスチン結石	しすちんけっせき	86
インスリノーマ	D137	インスリノーマ	いんすりのーま	86
根分岐部病変	K055	根分岐部病変	こんぶんきぶびょうへん	86
肋軟骨損傷	S299	肋軟骨損傷	ろくなんこつそんしょう	86
老人性白斑	L80	老人性白斑	ろうじんせいはくはん	86
重症妊娠高血圧症候群	O141	重症妊娠高血圧症候群	じゅうしょうにんしんこうけつあつしょうこうぐん	85
下行胸部大動脈瘤	I712	下行胸部大動脈瘤	かこうきょうぶだいどうみゃくりゅう	85
新生児低酸素性虚血性脳症	P916	新生児低酸素性虚血性脳症	しんせいじていさんそせいきょけつせいのうしょう	85
右側大動脈弓	Q254	右側大動脈弓	うそくだいどうみゃくきゅう	85
続発性アミロイドーシス	E853	続発性アミロイドーシス	ぞくはつせいあみろいどーしす	85
胃静脈瘤出血	I864	胃静脈瘤出血	いじょうみゃくりゅうしゅっけつ	85
混合性頭痛	G448	混合性頭痛	こんごうせいずつう	85
下腹部浮腫	R600	下腹部浮腫	かふくぶふしゅ	85
上腕骨骨幹部骨折	S4230	上腕骨骨幹部骨折	じょうわんこつこっかんぶこっせつ	85
咽頭扁桃炎	J068	咽頭扁桃炎	いんとうへんとうえん	85
腎破裂	S370	腎破裂	じんはれつ	85
壊死性膵炎	K85	壊死性膵炎	えしせいすいえん	85
下肢筋萎縮	M6259	下肢筋萎縮	かしきんいしゅく	85
感冒性胃腸炎	A09	感冒性胃腸炎	かんぼうせいいちょうえん	85
十二指腸球部変形	K315	十二指腸球部変形	じゅうにしちょうきゅうぶへんけい	85
気道損傷	S279	気道損傷	きどうそんしょう	85
透析腎癌	C64	透析腎癌	とうせきじんがん	85
小腸瘻	K632	小腸瘻	しょうちょうろう	84
カンピロバクター腸炎	A045	カンピロバクター腸炎	かんぴろばくたーちょうえん	84
脊髄動静脈瘻	I770	脊髄動静脈瘻	せきずいどうじょうみゃくろう	84
難治性ネフローゼ症候群	N049	難治性ネフローゼ症候群	なんちせいねふろーぜしょうこうぐん	84
てんかん合併妊娠	O993	てんかん合併妊娠	てんかんがっぺいにんしん	84
読字障害	R480	読字障害	どくじしょうがい	84
瀬川病	G241	瀬川病	せがわびょう	84
