患者表現	出現形	標準病名
普段より味がおかしくなる	味覚障害	味覚障害
普段より強い心臓の鼓動	動悸	動悸
普段柔らかい部分が固くなる	硬結	硬結
普通じゃない行動	異常行動	異常行動
普通でない感じ	異常感覚	異常触覚,異常知覚
普通でない感覚	異常感覚	異常触覚,異常知覚
普通と違った行動	異常行動	異常行動
暑い	熱,熱感	発熱,ほてり
暑気　熱っぽい	発熱	発熱
暖かい感覚の低下	温痛覚低下	知覚鈍麻
暖痛感	温痛	温痛覚過敏
暗くなってしまう	眼前暗黒感	眼前暗黒
暗く見える	眼前暗黒感	眼前暗黒
暴飲	多飲	多飲症
暴飲暴食	多飲	多飲症
最低体温が３７℃以上	弛張熱	弛張熱
朦朧	軽度意識障害,意識障害,意識レベルの低下,ふらつき	意識障害,めまい
朦朧、意識混濁	意識レベルの低下	意識障害
朦朧としている	意識混濁,意識レベル低下,意識障害	意識混濁,意識障害
朦朧とする	意識レベル低下,意識混濁	意識障害,意識混濁
末しょう循環障害	末梢循環不全	末梢循環不全
末梢の周りが悪い	末梢循環不全	末梢循環不全
末梢循環障害	末梢循環不全	末梢循環不全
末端の血の巡りが悪い	末梢循環不全	末梢循環不全
末端冷え性	末梢循環不全	末梢循環不全
本来取らない行動をする	異常行動	異常行動
柔らかい組織が炎症やうっ血充血などで硬くなること	硬結	硬結
柔らかい組織が硬くなること	硬結	硬結
栄養失調	摂食不良	摂食機能障害
極度の免疫低下による内臓機能低下	多臓器障害	多臓器不全
構音器に異常がないのに言語機能が低下すること	失語	失語症
構音障害	構語障害	構語障害
様々な臓器が機能不全	多臓器障害	多臓器不全
横っ腹いた	左側胸部痛	側胸部痛
横っ腹が痛い	側腹部痛,左下腹部痛,左側腹部痛,左上腹部痛	側腹部痛,下腹痛,臍下部痛,上腹部痛
横になっても息がしにくい	安静時呼吸困難	呼吸困難
横になると苦しく座位であれば呼吸が出来ること	起坐呼吸	起坐呼吸
横に大きくなる	体重増加	体重増加
横紋筋融解症	高ＣＫ血症	高クレアチンキナーゼ血症
横腹が痛い	左上腹部痛,右季肋部痛,側腹部痛	上腹部痛,季肋部痛,側腹部痛
横腹の痛み	左側腹部痛	側腹部痛
横隔膜	胸膜炎	胸膜炎
機能	耐糖能障害	耐糖能異常
機能不全	乾酪壊死	壊死
機能性胃腸症	心窩部不快感	心窩部不快
止血後に出血すること	再出血	出血
正しく発声ができない障害	構音障害	構音障害
正常でない行動	異常行動	異常行動
正常ではない	意識障害	意識障害
正常で規則的でありながらも弱くなるもの	洞性徐脈	洞徐脈
正常な判断ができない脳の機能	意識障害	意識障害
正常に喋れなくなる	呂律困難	構音障害
歩いたり動くと息が切れる	労作性呼吸困難	発作性呼吸困難,労作時呼吸困難
歩きづらい	歩行障害	歩行障害
歩きにくい	歩行困難,歩行障害,失調性歩行	歩行困難,歩行障害,失調性歩行
歩きにくいわぁ	歩行障害	歩行障害
歩きにくさ	歩行困難	歩行困難
歩きに支障が出る	歩行障害	歩行障害
歩き辛い	歩行障害,歩行困難	歩行障害,歩行困難
歩くことが難しい	歩行困難,歩行障害	歩行困難,歩行障害
歩くことが難しいこと	歩行困難	歩行困難
歩くことに難しさを感じる事	歩行障害	歩行障害
歩くために何かしら困難がある	歩行障害	歩行障害
歩くのが困難	歩行障害	歩行障害
歩くのが難しい	歩行困難,歩行障害	歩行困難,歩行障害
歩くのが難しい事	歩行困難	歩行困難
歩くのに問題が生じる	歩行障害	歩行障害
歩くのに障害がある	歩行障害	歩行障害
歩くのに難がある	歩行障害	歩行障害
歩くの難しい	歩行困難	歩行困難
歩く上での困難	歩行障害	歩行障害
歩く事が困難	歩行障害	歩行障害
歩く事が難しい	歩行困難	歩行困難
歩く事が難しい状態	歩行困難	歩行困難
歩く事に障害がある	歩行障害	歩行障害
歩く機能が損なわれた状態	歩行障害	歩行障害
歩けない	歩行困難,歩行障害,失調性歩行,ふらつき	歩行困難,歩行障害,失調性歩行,めまい
歩けなくなる	歩行困難,歩行障害	歩行困難,歩行障害
歩けへん	歩行困難	歩行困難
歩行ができない	歩行困難	歩行困難
歩行するのに難しい	歩行障害	歩行障害
歩行不振	ふらつき	めまい
歩行不能	歩行困難	歩行困難
歩行困難	失調性歩行,歩行障害,下肢脱力	失調性歩行,歩行障害,下肢脱力感
歩行障害	失調性歩行,歩行困難	失調性歩行,歩行困難
歯茎の腫れ	左頚部リンパ節腫脹	頚部リンパ節腫脹
死にそう	多臓器不全	多臓器不全
死に近い内臓障害	多臓器障害	多臓器不全
死ぬ	壊死	壊死
死ぬほど痛い	激痛	疼痛
死んだ	呼吸停止	呼吸停止
死亡	呼吸停止	呼吸停止
死因　免疫が極度に低下して死に至る	多臓器不全	多臓器不全
残尿	尿閉	尿閉
毛細管出血	点状出血	点状出血
毛細血管レベルで血管の破綻	肺胞出血	肺胞出血
気がもうろう	意識混濁	意識混濁
気が抜ける	脱力	脱力感,筋脱力
気が抜ける状態	脱力	脱力感,筋脱力
気が無くなる症状が出る	意識消失発作	眼前暗黒,虚脱,血管迷走神経性失神,失神,心臓性失神,卒倒,単純性失神,排尿性失神,労作性失神
気が狂った	異常行動	異常行動
気が触れる	異常行動	異常行動
気が遠くなる	意識消失,意識混濁	意識消失,意識混濁
気だるい	倦怠感,脱力感,全身倦怠感,脱力	倦怠感,脱力感,全身倦怠感,脱力感,筋脱力
気だるい　	倦怠感	倦怠感
気だるい状態	全身倦怠感	全身倦怠感
気だるさ	脱力,全身倦怠感	脱力感,筋脱力,全身倦怠感
気を失いかけ	意識レベルの低下	意識障害
気を失いかける	意識レベルの低下	意識障害
気を失う	意識消失,失神発作,意識消失発作,一過性意識障害,意識障害	意識消失,失神,眼前暗黒,虚脱,血管迷走神経性失神,失神,心臓性失神,卒倒,単純性失神,排尿性失神,労作性失神,一過性意識障害,意識障害
気を失う、朦朧	意識障害	意識障害
気を失う発作	失神発作	失神
気分が悪い	悪心	悪心
気失いそう	意識レベル低下	意識障害
気怠さ	倦怠感	倦怠感
気持ちが悪い	吐き気,悪心,胃部不快感	嘔気,悪心,腹部不快感
気持ち悪い	悪心,嘔気,吐気,吐き気,悪心嘔吐,上腹部不快感,嘔吐,嘔気嘔吐	悪心,嘔気,悪心,嘔吐症,腹部不快感,嘔吐症,嘔気,嘔吐症
気持ち悪いかんじ	異常感覚	異常触覚,異常知覚
気持ち悪くて吐いてしまう	悪心嘔吐	悪心,嘔吐症
気持ち悪くて吐く	悪心嘔吐,嘔気嘔吐	悪心,嘔吐症,嘔気,嘔吐症
気管支が浮き彫りに見えること	気管支透亮像	胸部異常陰影
気管支が狭くなっていて呼吸しにくい状態	閉塞性換気障害	閉塞性換気障害
気管支が狭くなって一気に息を吐き出すことができないこと	閉塞性換気障害	閉塞性換気障害
気管支ぜんそくの音	喘鳴	喘鳴
気管支などの空気の通り道が塞がってうまく呼吸できない症状	閉塞性換気障害	閉塞性換気障害
気管支の画像診断	気管支透亮像	胸部異常陰影
気管支喘息	喘鳴	喘鳴
気管支炎	気管支透亮像	胸部異常陰影
気絶	意識消失発作,一過性意識障害,意識消失,意識障害,失神発作,意識レベルの低下,意識レベル低下	眼前暗黒,虚脱,血管迷走神経性失神,失神,心臓性失神,卒倒,単純性失神,排尿性失神,労作性失神,一過性意識障害,意識消失,意識障害,失神
気絶した	意識消失発作	眼前暗黒,虚脱,血管迷走神経性失神,失神,心臓性失神,卒倒,単純性失神,排尿性失神,労作性失神
気絶寸前	意識混濁	意識混濁
気絶発作	失神発作	失神
気道が狭い時に出る音	喘鳴	喘鳴
気道に分泌物がある場合空気が気管支を通過して水泡が破れて生じる異常な呼吸音	湿性ラ音	湿性ラ音
気道出血	喀血	喀血
水がか貯まっとる	胸腹水	腹水症
水がたまる	腹水,胸腹水	腹水症
水が溜まる	大量腹水,膵性胸水,腹水貯留,胸腹水,腹水	腹水症,胸水検査異常
水っ腹	大量腹水	腹水症
水ぶくれ	腹水,嚢胞性腫瘤,腹水貯留,浮腫,血性腹水	腹水症,腫瘤,浮腫,血性腹水
水をよく飲み色の薄い尿をよく出す	多飲多尿	多飲症,多尿
水を飲むことがやめられなくなる	多飲	多飲症
水中毒	多飲	多飲症
水分	腹水	腹水症
水分の取りすぎ	多飲	多飲症
水分の取りすぎで沢山おしっこが出る	多飲多尿	多飲症,多尿
水分の摂り過ぎて尿が多く出る	多飲多尿	多飲症,多尿
水分をあまり伴わない乾いた咳	乾性咳	乾性咳
水分を多く取り、尿が多いこと	多飲多尿	多飲症,多尿
水分を過剰にとる	多飲	多飲症
水分不足	経口摂取不良	摂食機能障害
水分摂取過剰	多飲	多飲症
水分摂取過剰からくる頻尿	多飲多尿	多飲症,多尿
水分補給症	発汗過多	多汗症
水泡	浮腫,粘膜浮腫	浮腫
水泡音	湿性ラ音	湿性ラ音
水疱瘡	皮疹	発疹
水腫	大量腹水	腹水症
汗いっぱい出る事	発汗過多	多汗症
汗かき	発汗過多	多汗症
汗がいっぱい出る	発汗過多	多汗症
汗がたくさんでる	発汗過多	多汗症
汗がたくさん出る	発汗過多	多汗症
汗が出る	盗汗,発汗過多	寝汗,多汗症
汗が出過ぎ	発汗過多	多汗症
汗が多い	発汗過多	多汗症
汗が多すぎる	発汗過多	多汗症
汗だく	発汗過多	多汗症
汗だくだく	発汗過多	多汗症
汗っかき	発汗過多	多汗症
汗のかきすぎ	発汗過多	多汗症
汗の出る状態の一種	盗汗	寝汗
汗をかきすぎる	発汗過多	多汗症
汗をたくさんかく	発汗過多	多汗症
汚い痰	膿性痰	膿性痰
決まった時間に熱が出る	周期性発熱	発熱
沢山のリンパの病気	多発リンパ節腫脹	リンパ節腫大
沢山出来る塊	多発腫瘤,多発性腫瘤	腫瘤
沢山飲む	多飲	多飲症
治すのが難しい腹に水がたまる症状	難治性腹水	難治性腹水
治りにくい腹水	難治性腹水	難治性腹水
泌尿困難	尿閉	尿閉
注意不足	意識レベル低下	意識障害
洞性徐脈	徐脈	徐脈
洞頻脈	洞性頻脈（どうせいじょうみゃく）	
流血	出血	出血
流血による異常	出血性ショック	出血性ショック
浅い呼吸	頻呼吸	頻呼吸
浮いているようなめまい	浮動性めまい	めまい
浮く	むくみ	浮腫
浮腫	ｐｉｔｔｉｎｇ　ｅｄｅｍａ,むくみ,圧痕浮腫,顔面浮腫,両下腿浮腫,両下肢浮腫,全身性浮腫,膵性胸水,リンパ節腫脹,下肢浮腫,全身浮腫	浮腫,顔面浮腫,下腿浮腫,下肢浮腫,全身性浮腫,胸水検査異常,リンパ節腫大
浮腫み	浮腫性変化,圧痕性浮腫,圧痕浮腫,顔面浮腫,浮腫,全身浮腫	浮腫,顔面浮腫,全身性浮腫
浮腫み　	浮腫	浮腫
浮腫みが現れる	浮腫性変化	浮腫
浮腫むことによって形が変わってしまう	浮腫性変化	浮腫
浸潤陰影	胸部異常影	胸部異常陰影
消化不良	胃部不快感,摂食不良	腹部不快感,摂食機能障害
消化管の病気	心窩部不快感	心窩部不快
液体がたまる	嚢胞性腫瘤	腫瘤
液体のかたまりができる	嚢胞性腫瘤	腫瘤
淡いすりガラスのような陰影	スリガラス陰影	胸部異常陰影
淡い影	スリガラス様陰影	胸部異常陰影
淡白が出る	高度蛋白尿	蛋白尿
混乱	意識混濁	意識混濁
混濁	意識消失,昏迷	意識消失,昏迷
混迷	軽度意識障害	意識障害
渇き	口渇感,口渇	口渇症
渇く	口渇	口渇症
減量	体重減少	体重減少
温かさを感じない	温痛覚障害	温痛覚過敏
温まると痛い	温痛	温痛覚過敏
温めると痛い	温痛	温痛覚過敏
温めると痛むこと	温痛	温痛覚過敏
温度が感じにくい	温痛覚低下	知覚鈍麻
温度と痛み	温痛	温痛覚過敏
温度と痛みが感じにくい	温痛覚低下	知覚鈍麻
温度と痛みの感覚が低下	温痛覚低下	知覚鈍麻
温度や痛みが感じられない	温痛覚低下	知覚鈍麻
温度や痛みの感じ方がおかしい	温痛覚障害	温痛覚過敏
温度や痛みを感じにくい	感覚鈍麻	感覚異常症
温度を感じない	温痛覚障害	温痛覚過敏
温度感じ方の低下	温痛覚低下	知覚鈍麻
温痛覚	温痛	温痛覚過敏
温痛覚異常	温痛覚障害	温痛覚過敏
湿しん	皮膚黄染,粘膜発赤	黄疸,発赤
湿ったような咳	湿性咳嗽	湿性咳,慢性咳嗽
湿ったセキ	湿性咳嗽	湿性咳,慢性咳嗽
湿った呼吸時異常音	湿性ラ音	湿性ラ音
湿った咳	湿性咳嗽	湿性咳,慢性咳嗽
湿った所で出る咳	湿性咳嗽	湿性咳,慢性咳嗽
湿性咳	湿性咳嗽	湿性咳,慢性咳嗽
湿性咳嗽	湿性咳嗽	湿性咳,慢性咳嗽
湿疹	皮疹,丘疹,粒状陰影,発赤,発疹,痂皮,紅色丘疹,粘膜発赤,点状出血,黄疸	発疹,丘疹,胸部異常陰影,発赤,痂皮,紅色丘疹,点状出血,黄疸
湿疹ができる	発疹	発疹
満腹	腹満,腹満感,膨満,腹部膨満感	腹部膨満
満腹感	腹満感,腹部膨満感,胸部違和感	腹部膨満,胸部不快感
溢血点	点状出血	点状出血
漏らす	多尿	多尿
潜血	尿潜血	顕微鏡的血尿
潰れた	圧痛	圧痛
潰瘍	左上腹部痛	上腹部痛
激しい傷み	激痛	疼痛
激しい痛さ	激痛	疼痛
激しい痛み	激痛	疼痛
激しい腹痛	急性腹症	急性腹症
激しく震える	痙攣	痙攣
激やせ	体重減少	体重減少
激痛	痛み	疼痛
濁ったような影	スリガラス影	胸部異常陰影
濁った尿	褐色尿	ビリルビン尿
濁った尿が出ること	褐色尿	ビリルビン尿
濁音	心雑音	心雑音
濃い尿	褐色尿	ビリルビン尿
濃い痰	膿性痰	膿性痰
濃い色の尿	褐色尿	ビリルビン尿
濃度の高い淡白がでた尿	高度蛋白尿	蛋白尿
濃度過多	高ビリルビン血症	高ビリルビン血症
火照り	熱感	ほてり
炎症	発赤腫脹,温痛,粘膜発赤,頚部リンパ節腫脹,発熱	発赤,温痛覚過敏,頚部リンパ節腫脹,発熱
炭水化物分解酵素が血液中に多く含まれる症状	高アミラーゼ血症	高アミラーゼ血症
炭酸が濃すぎる	高炭酸ガス血症	高炭酸ガス血症
炭酸ガスを吸ったことによる中毒	高炭酸ガス血症	高炭酸ガス血症
炭酸ガスナルコーシス	CO２ナルコーシス	
点々した出血	点状出血	点状出血
点々とした皮下出血	点状出血	点状出血
点々に出血する	点状出血	点状出血
点のようなに血がでる	点状出血	点状出血
点在する出血	点状出血	点状出血
無し	四肢筋力低下	四肢筋力低下
無力	下肢脱力,意識レベル低下	下肢脱力感,意識障害
無力感	四肢脱力,脱力感	四肢脱力,脱力感
無動	寡動	行動緩慢
無呼吸	安静時呼吸困難,呼吸停止,労作性呼吸困難,労作時呼吸苦	呼吸困難,呼吸停止,発作性呼吸困難,労作時呼吸困難,労作時呼吸困難
無呼吸Syn	呼吸困難感	呼吸麻痺
無呼吸症	安静時呼吸困難	呼吸困難
無呼吸症候群	無呼吸	無呼吸発作
無尿	乏尿,無尿	乏尿,無尿
無尿症	無尿状態	無尿
無意識	意識レベルの低下	意識障害
無意識な体の震え	振戦	振戦
無意識に動く	不随意運動	不随意運動症
無意識運動	不随意運動	不随意運動症
無感覚	しびれ感	しびれ感
無気力	虚脱,脱力,脱力感,倦怠感	虚脱,脱力感,筋脱力,脱力感,倦怠感
無気力感	脱力感	脱力感
無気力症候群	脱力感	脱力感
無痛症	温痛覚障害	温痛覚過敏
無食	食思不振	食欲不振
焦点がぼやける	見当識障害	見当識障害
熱	熱感,熱発,高熱,発熱,弛張熱,不明熱,微熱	ほてり,発熱,高熱,弛張熱,不明熱,微熱
熱あつ	発熱	発熱
熱い	発熱,熱感	発熱,ほてり
熱い冷たいを感じられない	温痛覚低下	知覚鈍麻
熱い痛いがわからなくなる	温痛覚障害	温痛覚過敏
熱い痛み	温痛	温痛覚過敏
熱がある	発熱,高熱,微熱,熱発	発熱,高熱,微熱
熱があるような感じ	微熱	微熱
熱があるような気がする	熱感	ほてり
熱がでた	発熱	発熱
熱がでる	発熱	発熱
熱が出た	発熱,熱発	発熱
熱が出たが原因がわからない	不明熱	不明熱
熱が出ている	発熱	発熱
熱が出る	発熱,熱発,周期性発熱,悪寒,微熱	発熱,悪寒,微熱
熱が少し高い	微熱	微熱
熱が続く	弛張熱	弛張熱
熱が高い	高熱	高熱
熱く感じる症状	熱感	ほてり
熱さ	熱	発熱
熱さの感覚	熱感	ほてり
熱さや痛みの感覚が鈍い	温痛覚障害	温痛覚過敏
熱っぽい	熱感,微熱,弛張熱,温痛,発熱,不明熱	ほてり,微熱,弛張熱,温痛覚過敏,発熱,不明熱
熱っぽい感じ	熱感	ほてり
熱っぽさ	熱感	ほてり
熱でおでこが焼ける	高熱	高熱
熱のある感覚	熱感	ほてり
熱の時の寒気	悪寒	悪寒
熱まではいかなくても平熱よりは少し高い熱のこと	微熱	微熱
熱を出す	発熱	発熱
熱中症	弛張熱,熱感	弛張熱,ほてり
熱出た	弛張熱,発熱	弛張熱,発熱
熱感	熱感	ほてり
熱気味	熱発	発熱
熱病	発熱	発熱
熱発	発熱,熱発,周期性発熱,弛張熱,熱,微熱	発熱,弛張熱,微熱
片側性下肢腫脹	左下腿腫脹	下腿腫脹
片腹痛い	側腹部痛	側腹部痛
片頭痛	拍動性頭痛	頭痛
物が食べたかない	食欲低下	食欲不振
物が食べられない	経口摂取不良	摂食機能障害
物の認識ができない	記銘力障害	記銘力低下,記憶障害
物を忘れる事	物忘れ	健忘症
物を飲み込みにくい	嚥下困難感	嚥下困難
物を飲み込むのが困難な状態	嚥下障害	嚥下障害
物を飲み込むのが難しい	嚥下困難	嚥下困難
物事を思い出せない	物忘れ	健忘症
物事を正しく認識できない症状	知覚障害	知覚障害
物事を覚えていることが難しい状態	記憶障害	記憶障害
物事判断できない	見当識障害	見当識障害
物凄くいたい	激痛	疼痛
物忘れ	記憶障害,記銘力障害,記銘力低下,失語症,運動性失語,軽度意識障害	記憶障害,記銘力低下,記憶障害,記銘力低下,失語症,運動性失語症,意識障害
物忘れが激しい	記憶障害	記憶障害
物忘れしやすい	記憶障害	記憶障害
物忘れしやすくなった	記銘力低下	記銘力低下
物覚えがおかしい	知覚障害	知覚障害
物覚えがひどく悪い	記憶障害	記憶障害
特になし	喀痰,浮腫	喀痰,浮腫
特定のウイルスやアレルゲンなどに反応する抗体の程度のう目安となる数値が上昇すること	抗体価上昇	抗体価上昇
狭心症	胸部絞扼感,心陰影拡大,房室回帰性頻拍,左胸痛,安静時胸痛,胸痛発作,前胸部圧迫感	胸部不快感,胸部異常陰影,頻拍症,胸痛,反復性胸痛,胸痛
猫舌の逆	温痛覚低下	知覚鈍麻
現実にないもの	幻覚	幻覚
現実にはないものが見えること	幻覚	幻覚
理由なく急に死ぬ	突然死	突然死
生殖器から血が出ること	性器出血	性器出血
生殖機からの出血	性器出血	性器出血
生理	性器出血	性器出血
甲状腺機能低下	高ＣＫ血症	高クレアチンキナーゼ血症
異が痛い	上腹部痛	上腹部痛
異常な	蛋白細胞解離	髄液蛋白細胞数解離
異常なんですけど	異常感覚	異常触覚,異常知覚
異常な刺激	痛み	疼痛
異常な呼吸音	湿性ラ音	湿性ラ音
異常な呼吸音がする症状	湿性ラ音	湿性ラ音
異常な図形	心電図異常	心電図異常
異常な声	嗄声	嗄声
異常な心音	心雑音	心雑音
異常な水分摂取	多飲	多飲症
異常な汗の量	発汗過多	多汗症
異常な行動をする	異常行動	異常行動
異常動作	異常行動	異常行動
異常呼吸	頻呼吸	頻呼吸
異常影	空洞影	胸部異常陰影
異常心電図	心電図異常	心電図異常
異常心電図波形	心電図異常	心電図異常
異常感覚	感覚障害,異常感覚,感覚異常	体感異常,異常触覚,異常知覚,感覚異常症
異常知覚	知覚障害	知覚障害
異常肺静脈が三日月刀のように見えること	肺結節影	肺部異常陰影
異常運動	不随意運動	不随意運動症
異常陰影	胸部異常影	胸部異常陰影
疝痛発作	腹痛発作	腹痛症
疲れ	疲労感,全身倦怠感,易疲労感,倦怠感,虚脱,四肢筋力低下,脱力感,労作時息切れ	疲労感,全身倦怠感,易疲労感,倦怠感,虚脱,四肢筋力低下,脱力感,息切れ
疲れからきつい	意識レベルの低下	意識障害
疲れからくる息切れ	労作時息切れ	息切れ
疲れが取れない	疲労感	疲労感
疲れが溜まる	疲労感	疲労感
疲れた	疲労感,倦怠感,脱力感	疲労感,倦怠感,脱力感
疲れた感じ	疲労感	疲労感
疲れた状態	疲労感	疲労感
疲れている	疲労感	疲労感
疲れている感覚	疲労感	疲労感
疲れて息苦しい	労作性呼吸困難	発作性呼吸困難,労作時呼吸困難
疲れの症状	疲労感	疲労感
疲れやすい	易疲労感,疲労感	易疲労感,疲労感
疲れやすく感じる	易疲労感	易疲労感
疲れやすさ	易疲労感	易疲労感
疲れる	疲労感,易疲労感	疲労感,易疲労感
疲れを感じる	疲労感	疲労感
疲れ具合	疲労感	疲労感
疲れ気味	疲労感	疲労感
疲労	高乳酸血症,全身倦怠感,倦怠感,脱力感,脱力,むくみ,労作時胸痛,易疲労感,虚脱,息切れ	高乳酸血症,全身倦怠感,倦怠感,脱力感,脱力感,筋脱力,浮腫,反復性胸痛,胸痛,易疲労感,虚脱,息切れ
疲労困憊	虚脱,疲労感,全身倦怠感	虚脱,疲労感,全身倦怠感
疲労性不正呼吸	労作性呼吸困難	発作性呼吸困難,労作時呼吸困難
疲労感	倦怠感,脱力感,易疲労感	倦怠感,脱力感,易疲労感
疲弊感	疲労感	疲労感
疲弊衰弱	虚脱	虚脱
疼く	鈍痛	鈍痛
疼くような痛み	疼痛	疼痛
疼痛	痛み,激痛,温痛,しびれ,下肢疼痛,全身痛,頭痛	疼痛,温痛覚過敏,しびれ感,全身痛,頭痛
病気	両側肺門リンパ節腫脹	両側肺門リンパ節腫脹
病気の時にかく寝汗	盗汗	寝汗
痒いブツブツ	発赤	発赤
痒み	皮疹	発疹
痒みボロ	皮疹	発疹
痒みボロ　	発疹	発疹
痙攣	不随意運動,けいれん,痙攣発作,けいれん発作,しびれ,痙攣重積状態,痙攣,しびれ感	不随意運動症,痙攣,痙攣発作,てんかん様発作,痙攣発作,痙攣重積発作,全身痙攣発作,しびれ感,痙攣重積発作
痙攣がおこる	痙攣発作	痙攣発作
痙攣がひどくなる	痙攣重積状態	痙攣重積発作
痙攣が続いている症状	痙攣重積	痙攣重積発作
痙攣が続く	痙攣重積	痙攣重積発作
痙攣が起きる	けいれん発作,痙攣発作	てんかん様発作,痙攣発作,痙攣重積発作,全身痙攣発作,痙攣発作
痙攣が重い状態	痙攣重積	痙攣重積発作
痙攣が頻発する	痙攣重積	痙攣重積発作
痙攣しとる	けいれん発作	てんかん様発作,痙攣発作,痙攣重積発作,全身痙攣発作
痙攣する	痙攣発作,痺れ,しびれ感	痙攣発作,しびれ感
痙攣をおこす	痙攣発作	痙攣発作
痙攣を伴う発作	痙攣発作	痙攣発作
痙攣状態	けいれん発作	てんかん様発作,痙攣発作,痙攣重積発作,全身痙攣発作
痙攣発作	痙攣重積,全身性痙攣	痙攣重積発作,全身痙攣
痙攣発作が30分以上持続すること	痙攣重積	痙攣重積発作
痙攣発作を反復し発作間欠期にも意識が回復しない状態が30分以上続くこと	痙攣重積	痙攣重積発作
痙攣麻痺	痙攣重積	痙攣重積発作
痛い	痛み,疼痛,鈍痛,しびれ,激痛,圧痛	疼痛,鈍痛,しびれ感,圧痛
痛いわぁ	痛み	疼痛
痛い病	全身痛	全身痛
痛すぎる	激痛	疼痛
痛み	疼痛,鈍痛,圧痛,右季肋部痛,癌性疼痛	疼痛,鈍痛,圧痛,季肋部痛,癌性疼痛
痛みがある	圧痛	圧痛
痛みがはげしい	激痛	疼痛
痛みが感じにくい	鈍痛,温痛覚低下	鈍痛,知覚鈍麻
痛みます	全身痛	全身痛
痛みや熱さが鈍る	温痛覚低下	知覚鈍麻
痛痒い	スリガラス状陰影	胸部異常陰影
痛苦しい	リンパ節腫大,心窩部痛,労作時胸痛	リンパ節腫大,心窩部痛,反復性胸痛,胸痛
痛覚障害	温痛覚障害	温痛覚過敏
痛風	高乳酸血症,癌性疼痛,下肢疼痛	高乳酸血症,癌性疼痛,疼痛
痣	皮下出血,出血斑	皮下出血,斑状出血
痩せ	体重減少	体重減少
痩せた	体重減少	体重減少
痩せてきた	体重減少	体重減少
痩せる	体重減少	体重減少
痩身	体重減少	体重減少
痰	喀痰,膿性痰	喀痰,膿性痰
痰がからまない咳	乾性咳	乾性咳
痰がからむ	膿性痰,喀痰	膿性痰,喀痰
痰がでる	喀痰	喀痰
痰がらみの咳	湿性咳嗽	湿性咳,慢性咳嗽
痰が出る	喀痰,膿性痰	喀痰,膿性痰
痰が出る咳	湿性咳嗽	湿性咳,慢性咳嗽
痰が濃い	膿性痰	膿性痰
痰が絡んだ咳	湿性咳嗽	湿性咳,慢性咳嗽
痰に血がまざる	血痰	血痰
痰に血がまじる	血痰	血痰
痰に血が混ざる	血痰	血痰
痰に血が混じっている	血痰	血痰
痰に血が混じる	血痰	血痰
痰のからんだ咳	湿性咳嗽	湿性咳,慢性咳嗽
痰の出ない咳	乾性咳嗽	乾性咳
痰の絡んだ重たい咳	湿性咳嗽	湿性咳,慢性咳嗽
痰をはく	喀痰	喀痰
痰をはくこと	喀痰	喀痰
痰を出すこと	喀痰	喀痰
痰を吐く	喀痰	喀痰
痰咳	喘鳴	喘鳴
痰状の血液	血痰	血痰
痴呆	記憶障害,記銘力障害,軽度意識障害,物忘れ	記憶障害,記銘力低下,記憶障害,意識障害,健忘症
痴呆症	物忘れ,見当識障害	健忘症,見当識障害
痺れ	感覚障害,痺れ感,異常感覚,痺れ,疼痛,感覚鈍麻,痙攣	体感異常,しびれ感,異常触覚,異常知覚,疼痛,感覚異常症,痙攣
痺れる	痺れ感,しびれ	しびれ感
痺れる感じ	痺れ感	しびれ感
痺れを感じる	痺れ感	しびれ感
瘤	巨大腫瘤,腫瘤	腫瘤
瘤がたくさんできている	多発性腫瘤,多発腫瘤	腫瘤
瘤ができること	嚢胞性腫瘤	腫瘤
瘤が出来ている	腫瘤病変,皮下腫瘤,巨大腫瘤	腫瘤,皮下腫瘤
瘤が大きくなっている	腫瘤形成	腫瘤
瘤の影が見える	腫瘤像	腫瘤
瘤形成	腫瘤形成	腫瘤
癌	腫瘤像,腫大リンパ節,リンパ節腫脹,腫瘍性病変,腫瘤	腫瘤,リンパ節腫大,-1
癌からくる耐え難い痛み	癌性疼痛	癌性疼痛
癌による体の痛み	癌性疼痛	癌性疼痛
癌による痛み	癌性疼痛	癌性疼痛
癌の痛み	癌性疼痛	癌性疼痛
癌化	浮腫性変化	浮腫
癌要因病変	腫瘍性病変	-1
癌陽性の可能性	ＣＥＡ高値	ＣＥＡ高値
癲癇	意識消失発作	眼前暗黒,虚脱,血管迷走神経性失神,失神,心臓性失神,卒倒,単純性失神,排尿性失神,労作性失神
発作	痙攣,けいれん発作,動悸発作,けいれん,痙攣重積状態,胸部圧迫感,呼吸筋麻痺,痙攣発作	痙攣,てんかん様発作,痙攣発作,痙攣重積発作,全身痙攣発作,動悸,痙攣重積発作,胸内苦悶,呼吸麻痺,痙攣発作
発作がでる	痙攣発作	痙攣発作
発作を起こす	痙攣発作	痙攣発作
発作性上室性頻拍	房室回帰性頻拍	頻拍症
発作的に意識が失われる	意識消失発作	眼前暗黒,虚脱,血管迷走神経性失神,失神,心臓性失神,卒倒,単純性失神,排尿性失神,労作性失神
発作的に意識を失う	意識消失発作	眼前暗黒,虚脱,血管迷走神経性失神,失神,心臓性失神,卒倒,単純性失神,排尿性失神,労作性失神
発声困難	呂律困難	構音障害
発声発語障害	構音障害	構音障害
発汗	盗汗	寝汗
発汗多少	発汗過多	多汗症
